,open,close,high,low,volume,money
2006-05-29,6.06,6.4,6.58,5.26,56152508.0,333353913.0
2006-05-30,6.26,6.35,6.86,6.1,24106869.0,156175238.0
2006-05-31,6.35,6.02,6.48,5.94,17933091.0,110280732.0
2006-06-01,6.38,6.01,6.38,5.83,24650074.0,148293532.0
2006-06-02,6.02,5.74,6.02,5.61,17204469.0,99688276.0
2006-06-05,5.65,5.71,5.83,5.52,11045709.0,61699398.0
2006-06-06,5.71,5.49,5.75,5.47,8109230.0,45113774.0
2006-06-07,5.47,5.16,5.47,5.15,16279098.0,86128917.0
2006-06-08,5.11,5.41,5.45,4.97,17157535.0,90398286.0
2006-06-09,5.39,5.57,5.67,5.25,13398824.0,73544436.0
2006-06-12,5.55,5.63,5.69,5.44,8592747.0,48118754.0
2006-06-13,5.56,5.5,5.77,5.41,9981205.0,55790598.0
2006-06-14,5.43,5.6,5.63,5.36,6208512.0,34151348.0
2006-06-15,5.6,5.48,5.65,5.43,13540676.0,74134018.0
2006-06-16,5.48,5.52,5.58,5.45,13013181.0,71852011.0
2006-06-19,5.45,6.03,6.08,5.41,20869317.0,122451765.0
2006-06-20,6.02,6.2,6.33,5.81,17380332.0,106865161.0
2006-06-21,6.2,6.16,6.29,6.07,6814545.0,42129129.0
2006-06-22,6.16,5.97,6.18,5.96,9219637.0,55798489.0
2006-06-23,5.96,6.05,6.06,5.88,6678484.0,39791085.0
2006-06-26,6.03,6.03,6.17,5.96,7712041.0,46419473.0
2006-06-27,6.02,5.83,6.05,5.79,8765490.0,51814791.0
2006-06-28,5.81,5.93,5.99,5.67,7054558.0,41347220.0
2006-06-29,5.87,6.0,6.03,5.81,5336380.0,31732118.0
2006-06-30,5.96,5.85,6.05,5.81,8919758.0,52676093.0
2006-07-03,5.81,5.67,5.9,5.66,15512081.0,88623540.0
2006-07-04,5.75,5.77,5.87,5.68,10032200.0,57917995.0
2006-07-05,5.83,6.0,6.02,5.71,10629055.0,62695999.0
2006-07-06,6.12,6.31,6.36,6.12,15868007.0,98629113.0
2006-07-07,6.36,6.23,6.44,6.22,7554593.0,47595618.0
2006-07-10,6.26,6.16,6.3,6.03,9886783.0,60482933.0
2006-07-11,6.15,6.11,6.2,6.01,8228575.0,49994313.0
2006-07-12,6.12,6.18,6.26,6.1,12365292.0,76318685.0
